Index,text_comments
41,for what it s worth i ll always remember you as the guy who heard say something gay jumped from the countertop and said i m gay  genuinely peak of comedy 
41,you weren t funny because you were offensive you are just a very funny dude  you can be the self aware you and still be funny 
41,there are some people who fully deserved the content cop that they got 
41,this is the most australian looking non australian ever 
42,apology video ft bloopers 
42,it s over for bro
42,what happened 
42,what a sincere apology
42,apology with bloopers is crazy
43,you shouldve listened to the pr team girl
43,this response was a choice
43,i actually can t believe this is real  the sad thing is that it is clear she put a bunch of effort into this song 
43,i had a feeling colleen would come back and do something like this
43,well i have to hand it to her  this is the most original apology video i ve seen 
44, don t judge a company for errors look how they react to critique     linus sebastian  you said it now live and work by it 
44,you gotta hire a qa qc specialist for your all testing projects in labs never let the person that makes something also control the quality 
44,those   they saved by not testing the water block properly has cost them a tiny bit more than expected
44,terrence my guy good job on reading from the teleprompter  without blinking even once
44,well this certainly takes us back to linus own words   always judge a company based on how they respond to criticism  
45,this man threatened sexual violence against a small child     he does not need a platform  he s lost it on women too and showed what his dad does to his mom behind closed doors 
45,we made the wrong guy famous 
45,its an apology not a stuttering contest
45,lyrics   yap yap yap yap yap yap umm yap yap yap umm yap yap yap yap umm umm yap yap yap umm yap yap yap yap yap yap yap yap umm yap  i counted a total of  umms in this video  
45,sure bro  we ll see  how many times u gonna apologize
46,the ex buzzfeed employee to three guys on the apology couch pipeline is insane  
46,my favorite videos from watcher are still the pandemic are you scared vids where it s just ryan and shane on zoom  please don t feel like you have to blow your budget on production when we just want to see y all hang out and tell each other scary stories  i love you guys and felt like your shows gave me some much needed laughs during a difficult time  thank you for hearing our concerns and actually making changes  it really means a lot 
46,as someone who still binge watches buzzfeed unsolved videos to this day i have to say that it really saddens me to see how these guys have evolved  we never asked for these fancy production rooms and effects we watched because of the relationship between ryan and shane  you guys could shoot a video inside a cardboard box and i wouldn t care because i m here for the personality not the special graphics
46,y all need to know we would watch shane and ryan walk through and ambiguously haunted vet clinic with two iphone cameras live streaming  we dont need the fancy stuff   my favourite videos are where its just those two reading stories hanging out  youve got two great personalities and a dynamic duo  no need to overpower it with a bunch of unnecessary expenses
46,you either die a hero or live long enough to see yourself become  guys on a couch
47,why are you apologizing  stop giving into this cancel culture shit like it s really not that serious
47,lmao truth   forced apology  china doesn t care about the environment
47,people should be more upset about the pollution than commenting on it 
47,kyedae i think i speak for everyone when i say we forgive you your apology has been accepted and we are no longer angry      
47,why are people mad about this  it s just a fact that china s air is polluted and can be damageable to more vulnerable people in regards to health
48,its giving my pastor told me i had to make ammends to make it into heaven so here i am doing the bare minimum 
48,to apologize to everyone and no one at the same time is a talent she definitely has 
48,thank you gabbie i m happy to see you in a better place now  
48,this is not an apology  this is performative and self aggrandisement  apologise to the individuals you wronged you called one of them a talentless loser a few weeks ago that s who you really are and not everyone buys this rebrand  do better 
48,this is not how a grown adult apologizes   what are you sorry for  who are you saying sorry to  what behaviors are referring to  this is performative insincere and just as vague as any other  apology  she s ever offered anyone 
49,tama nga naman julie  talaga lang may mga feeling perfect  just stand still and learn the lesson from it 
49,yan ang tunay na julie anne san jose marunong tumanggap ng kamalian 
49,hugs clarita god bless you
49,naintindihan ko
49,it s ok mas nagkasala pa ung nag bash sayu
